"subject","trialcode","values.itemnumber","correct","values.result","latency","Item","gun","Ethnicity","date","age_response","sex_response"
5,"GunBlack",8,1,"Hit",542,"bg08d","Gun","Arab-Muslim",102015,25,"männlich"
5,"ObjectWhite",20,1,"CR",605,"bg20a","Object","White",102015,25,"männlich"
5,"ObjectWhite",5,0,"Noresponse",850,"bg05a","Object","White",102015,25,"männlich"
5,"GunWhite",10,1,"Hit",606,"bg10b","Gun","White",102015,25,"männlich"
5,"ObjectWhite",6,1,"CR",730,"bg06a","Object","White",102015,25,"männlich"
5,"GunBlack",12,1,"Hit",624,"bg12d","Gun","Arab-Muslim",102015,25,"männlich"
5,"GunWhite",15,1,"Hit",498,"bg15b","Gun","White",102015,25,"männlich"
5,"GunBlack",20,1,"Hit",623,"bg20d","Gun","Arab-Muslim",102015,25,"männlich"
5,"ObjectBlack",12,1,"CR",679,"bg12c","Object","Arab-Muslim",102015,25,"männlich"
5,"ObjectWhite",1,1,"CR",613,"bg01a","Object","White",102015,25,"männlich"
5,"ObjectBlack",20,1,"CR",711,"bg20c","Object","Arab-Muslim",102015,25,"männlich"
5,"ObjectWhite",10,1,"CR",690,"bg10a","Object","White",102015,25,"männlich"
5,"ObjectBlack",4,1,"CR",546,"bg04c","Object","Arab-Muslim",102015,25,"männlich"
5,"GunWhite",19,1,"Hit",589,"bg19b","Gun","White",102015,25,"männlich"
5,"GunBlack",18,1,"Hit",683,"bg18d","Gun","Arab-Muslim",102015,25,"männlich"
5,"GunBlack",19,1,"Hit",715,"bg19d","Gun","Arab-Muslim",102015,25,"männlich"
5,"ObjectWhite",19,1,"CR",637,"bg19a","Object","White",102015,25,"männlich"
5,"GunBlack",14,1,"Hit",580,"bg14d","Gun","Arab-Muslim",102015,25,"männlich"
5,"ObjectBlack",11,1,"CR",557,"bg11c","Object","Arab-Muslim",102015,25,"männlich"
5,"ObjectWhite",17,1,"CR",631,"bg17a","Object","White",102015,25,"männlich"
5,"ObjectBlack",7,1,"CR",628,"bg07c","Object","Arab-Muslim",102015,25,"männlich"
5,"GunWhite",3,1,"Hit",609,"bg03b","Gun","White",102015,25,"männlich"
5,"ObjectBlack",3,1,"CR",603,"bg03c","Object","Arab-Muslim",102015,25,"männlich"
