"participant","block","trial_n","rt","accuracy","IAT_condition","block_order","task_order","gender","age","modern_racism_scale_total","IAT_exclude_based_on_fast_trials","SCIAT_exclude_based_on_fast_trials"
104,"compatible",20,614,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",21,638,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",22,705,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",23,443,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",24,754,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",25,674,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",26,804,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",27,439,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",28,520,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",29,591,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",30,629,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",31,460,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",32,789,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",33,726,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",34,905,0,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",35,559,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",36,626,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",37,490,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",38,730,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",39,713,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",40,977,0,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",41,1086,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",42,543,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",43,856,0,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",44,700,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",45,516,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",46,521,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",47,558,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",48,873,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",49,520,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",50,520,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",51,960,0,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",52,601,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",53,628,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",54,620,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",55,679,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",56,745,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",57,550,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",58,723,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
