"participant","complete","amp_recognition_response","gender","age","modern_racism_scale_total","mean_rating","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","AMP_mean_RT","AMP_perc_acc","AMP_neutral_perc_acc","AMP_race_perc_acc","AMP_diff","exclude","condition","IAT_condition","block_order","task_order"
258,TRUE,"Only black faces","female",33,21,4,714,0.95,FALSE,567,0.66,0.76,0.56,-0.2,FALSE,2,"Race IAT","incongruent","ratings first"
259,TRUE,"Only black faces","female",31,17,5.83,609,0.97,FALSE,563,0.81,0.86,0.76,-0.1,FALSE,3,"Race IAT","congruent","SCIAT first"
260,TRUE,"Only black faces","male",24,18,4.33,746,0.96,FALSE,612,0.57,0.66,0.48,-0.18,FALSE,4,"Race IAT","incongruent","SCIAT first"
263,TRUE,"I don't know","female",48,12,4.83,808,0.93,FALSE,544,0.16,0.14,0.18,0.04,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
265,TRUE,"Only black faces","female",25,15,3.83,801,0.93,FALSE,458,0.52,0.62,0.42,-0.2,FALSE,1,"Race IAT","congruent","ratings first"
266,TRUE,"Only black faces","female",50,14,5.67,922,0.98,FALSE,865,0.49,0.54,0.44,-0.1,FALSE,2,"Race IAT","incongruent","ratings first"
267,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,3,"Race IAT","congruent","SCIAT first"
268,TRUE,"Only black faces","male",26,15,5.17,1075,0.99,FALSE,820,0.65,0.66,0.64,-0.02,FALSE,4,"Race IAT","incongruent","SCIAT first"
270,TRUE,"Only black faces","female",44,14,4.17,983,0.96,FALSE,437,0.9,0.92,0.88,-0.04,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
272,TRUE,"Only black faces","male",23,15,5.83,657,0.87,FALSE,566,0.51,0.52,0.5,-0.02,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
274,TRUE,"Only black faces","male",30,17,3.83,709,0.98,FALSE,422,0.21,0.26,0.16,-0.1,FALSE,2,"Race IAT","incongruent","ratings first"
275,TRUE,"Only black faces","female",34,18,4.5,903,0.98,FALSE,1160,0.59,0.52,0.66,0.14,FALSE,3,"Race IAT","congruent","SCIAT first"
277,TRUE,"Only black faces","male",35,17,3.17,485,0.93,FALSE,176,0.67,0.7,0.64,-0.0599999999999999,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
278,TRUE,"Only black faces","male",52,15,5,841,0.99,FALSE,745,0.95,0.96,0.94,-0.02,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
282,TRUE,"Only black faces","male",58,20,4,1065,0.89,FALSE,351,0.6,0.66,0.54,-0.12,FALSE,2,"Race IAT","incongruent","ratings first"
283,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,3,"Race IAT","congruent","SCIAT first"
284,TRUE,"Only black faces","male",30,15,2.83,729,0.94,FALSE,834,0.55,0.62,0.48,-0.14,FALSE,4,"Race IAT","incongruent","SCIAT first"
286,TRUE,"Only black faces","female",55,24,4.67,1382,0.68,FALSE,369,0.82,0.76,0.88,0.12,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
289,TRUE,"Only black faces","female",40,14,5.5,723,0.97,FALSE,968,0.53,0.56,0.5,-0.0600000000000001,FALSE,1,"Race IAT","congruent","ratings first"
